Name,age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,Tenure (months),age2
Pattie Morrisey,18,F,Village,Platinum Membership,No,Gift Vouchers/Coupons,Not Specified,Wi-Fi,17,300.63,53005.25,17,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,2,4,Oct-19
Merideth Mcmeen,44,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,516.16,21027,22,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,5,13,40-49
Eufemia Cardwell,37,M,City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11,53.27,25239.56,6,567.66,No,Yes,Yes,Unsolved,Poor Website,5,14,30-39
Meghan Kosak,31,F,City,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,113.13,24483.66,16,663.06,No,Yes,Yes,Solved,Poor Website,5,3,30-39
Leslie Browder,13,M,City,Gold Membership,No,Gift Vouchers/Coupons,Not Specified,Wi-Fi,23,433.62,13884.77,24,722.27,Yes,No,Yes,Unsolved,No reason specified,3,23,Oct-19
Bridget Balog,21,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,10,55.38,8982.5,28,756.21,Yes,No,Yes,Solved in Follow-up,No reason specified,3,33,20-29
Shaquana Leech,45,F,Town,No Membership,No,Gift Vouchers/Coupons,Not Specified,Wi-Fi,10,97.31,19244.16,28,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,4,13,40-49
Mariana Hakes,25,F,Village,Basic Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,14,570.23,35119.93,8,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,5,19,20-29
Polly Medders,60,M,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14,55.53,41672.02,33.02434314,798.12,Yes,No,No,Not Applicable,Too many ads,3,23,60-69
Jong Vincelette,11,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,41.09,44007.18,18,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,4,35,Oct-19
Stephane Pullum,16,F,Town,Basic Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Fiber_Optic,0,30.14,18792.31,7,141.5132013,Yes,No,Yes,Unsolved,Too many ads,5,5,Oct-19
Tara Wilburn,11,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Not Specified,Wi-Fi,12,275.13,29072.86,26,733.97,Yes,No,No,Not Applicable,Poor Customer Service,3,11,Oct-19
Bulah Pietrzak,39,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9,241.74,33170.16,6,551.11,Yes,No,Yes,No Information Available,No reason specified,5,2,30-39
Mei Corum,45,M,City,Premium Membership,No,Without Offers,Not Specified,Mobile_Data,14,31.15,66982.61,8,164.800769,Yes,No,Yes,Unsolved,Products always in Stock,2,22,40-49
Alethia Chauncey,33,M,Village,No Membership,No,Without Offers,Desktop,Wi-Fi,15,49.86,44289.97,25,703.96,Yes,No,No,Not Applicable,Poor Customer Service,4,24,30-39
